transaction_id,date,store_id,sku_id,quantity_sold,selling_price,payment_mode,brand,liquor_type,size_ml,cost_price,mrp_x,mrp_y,excise_tax_pct,vat_pct,gross_revenue,cogs,excise_tax,vat_tax,total_tax,net_profit
1,2024-02-08,1,1013,4,895.0,Cash,Absolut,Vodka,180,1015.0,1795,1795,30.0,15.0,3580.0,4060.0,268.5,134.25,1611.0,-2091.0
2,2024-03-26,4,1016,3,734.0,UPI,Jack Daniels,Gin,750,1475.0,691,691,30.0,10.0,2202.0,4425.0,220.2,73.4,880.8000000000001,-3103.8
3,2024-03-16,6,1018,5,1181.0,UPI,Royal Stag,Whisky,750,495.0,718,718,30.0,15.0,5905.0,2475.0,354.3,177.15,2657.25,772.75
4,2024-03-28,8,1019,3,2081.0,Card,Royal Stag,Vodka,750,919.0,678,678,20.0,15.0,6243.0,2757.0,416.2,312.15,2185.0499999999997,1300.9500000000003
5,2024-02-09,6,1012,8,701.0,Cash,Royal Stag,Brandy,375,469.0,2327,2327,20.0,15.0,5608.0,3752.0,140.2,105.15,1962.8,-106.79999999999995
6,2024-02-07,9,1008,7,2435.0,UPI,McDowell's,Beer,375,929.0,2362,2362,20.0,12.0,17045.0,6503.0,487.0,292.2,5454.400000000001,5087.599999999999
7,2024-02-29,9,1017,3,1865.0,Card,Absolut,Tequila,180,1216.0,1998,1998,20.0,15.0,5595.0,3648.0,373.0,279.75,1958.25,-11.25
8,2024-02-28,2,1015,9,608.0,UPI,Bacardi,Beer,750,655.0,1822,1822,30.0,12.0,5472.0,5895.0,182.4,72.96,2298.2400000000002,-2721.2400000000002
9,2024-01-10,10,1010,5,642.0,Cash,Absolut,Brandy,375,401.0,1667,1667,30.0,15.0,3210.0,2005.0,192.6,96.3,1444.5,-239.5
10,2024-03-04,1,1015,9,735.0,Card,Bacardi,Beer,750,655.0,1822,1822,30.0,12.0,6615.0,5895.0,220.5,88.2,2778.2999999999997,-2058.2999999999997
11,2024-03-03,2,1015,7,476.0,UPI,Bacardi,Beer,750,655.0,1822,1822,30.0,12.0,3332.0,4585.0,142.8,57.12,1399.44,-2652.44
12,2024-02-18,5,1007,7,438.0,Card,Bacardi,Tequila,180,601.0,1480,1480,25.0,15.0,3066.0,4207.0,109.5,65.7,1226.3999999999999,-2367.3999999999996
